title,Adventure,Animation,Science Fiction,TV Movie,Fantasy,Mystery,Crime,Western,Documentary,History,Thriller,Drama,Romance,Music,War,Horror,Family,Foreign,Comedy,Action
Kicking & Screaming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,4.893835192279086,0.0
The Hitchhiker's Guide to the Galaxy,4.238185598447991,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,4.238185598447991,0.0
Fat Albert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,4.893835192279086,0.0,4.893835192279086,0.0
Resident Evil: Extinction,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,4.893835192279086
Blended,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.476371196895983,0.0
Last Holiday,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0
The River Wild,4.238185598447991,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
The Indian in the Cupboard,4.893835192279086,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0
Savages,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,0.0,0.0,0.0,4.893835192279086,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cellular,4.238185598447991,0.0,0.0,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,4.238185598447991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.238185598447991
Johnny English,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086,4.893835192279086
The Ant Bully,3.790748439756134,3.790748439756134,0.0,0.0,3.790748439756134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.790748439756134,0.0,3.790748439756134,0.0
Dune,4.893835192279086,0.0,4.893835192279086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.893835192279086
